"Temperature","Datetime","Site"
32,2020-06-23 13:01:00,"Intersection"
32.5,2020-06-23 14:01:00,"Intersection"
33.5,2020-06-23 15:01:00,"Intersection"
34,2020-06-23 16:01:00,"Intersection"
35.5,2020-06-23 17:01:00,"Intersection"
36,2020-06-23 18:01:00,"Intersection"
34.5,2020-06-23 19:01:00,"Intersection"
29.5,2020-06-23 20:01:00,"Intersection"
22.5,2020-06-23 21:01:00,"Intersection"
17,2020-06-23 22:01:00,"Intersection"
16,2020-06-23 23:01:00,"Intersection"
19,2020-06-24 00:01:00,"Intersection"
16,2020-06-24 01:01:00,"Intersection"
14,2020-06-24 02:01:00,"Intersection"
14,2020-06-24 03:01:00,"Intersection"
11.5,2020-06-24 04:01:00,"Intersection"
11,2020-06-24 05:01:00,"Intersection"
12.5,2020-06-24 06:01:00,"Intersection"
18,2020-06-24 07:01:00,"Intersection"
26,2020-06-24 08:01:00,"Intersection"
29,2020-06-24 09:01:00,"Intersection"
30.5,2020-06-24 10:01:00,"Intersection"
32.5,2020-06-24 11:01:00,"Intersection"
33.5,2020-06-24 12:01:00,"Intersection"
34,2020-06-24 13:01:00,"Intersection"
36,2020-06-24 14:01:00,"Intersection"
32.5,2020-06-24 15:01:00,"Intersection"
36.5,2020-06-24 16:01:00,"Intersection"
36,2020-06-24 17:01:00,"Intersection"
35,2020-06-24 18:01:00,"Intersection"
29,2020-06-24 19:01:00,"Intersection"
27,2020-06-24 20:01:00,"Intersection"
23,2020-06-24 21:01:00,"Intersection"
19.5,2020-06-24 22:01:00,"Intersection"
18,2020-06-24 23:01:00,"Intersection"
14.5,2020-06-25 00:01:00,"Intersection"
15.5,2020-06-25 01:01:00,"Intersection"
14.5,2020-06-25 02:01:00,"Intersection"
15.5,2020-06-25 03:01:00,"Intersection"
14.5,2020-06-25 04:01:00,"Intersection"
16,2020-06-25 05:01:00,"Intersection"
15,2020-06-25 06:01:00,"Intersection"
19,2020-06-25 07:01:00,"Intersection"
28.5,2020-06-25 08:01:00,"Intersection"
32.5,2020-06-25 09:01:00,"Intersection"
32,2020-06-25 10:01:00,"Intersection"
29,2020-06-25 11:01:00,"Intersection"
31.5,2020-06-25 12:01:00,"Intersection"
35,2020-06-25 13:01:00,"Intersection"
36,2020-06-25 14:01:00,"Intersection"
35.5,2020-06-25 15:01:00,"Intersection"
36,2020-06-25 16:01:00,"Intersection"
35.5,2020-06-25 17:01:00,"Intersection"
37.5,2020-06-25 18:01:00,"Intersection"
35,2020-06-25 19:01:00,"Intersection"
33.5,2020-06-25 20:01:00,"Intersection"
23.5,2020-06-25 21:01:00,"Intersection"
21,2020-06-25 22:01:00,"Intersection"
20,2020-06-25 23:01:00,"Intersection"
20.5,2020-06-26 00:01:00,"Intersection"
19.5,2020-06-26 01:01:00,"Intersection"
17,2020-06-26 02:01:00,"Intersection"
16,2020-06-26 03:01:00,"Intersection"
14.5,2020-06-26 04:01:00,"Intersection"
13.5,2020-06-26 05:01:00,"Intersection"
13,2020-06-26 06:01:00,"Intersection"
13.5,2020-06-26 07:01:00,"Intersection"
24,2020-06-26 08:01:00,"Intersection"
28.5,2020-06-26 09:01:00,"Intersection"
30,2020-06-26 10:01:00,"Intersection"
32,2020-06-26 11:01:00,"Intersection"
31.5,2020-06-26 12:01:00,"Intersection"
33.5,2020-06-26 13:01:00,"Intersection"
28.5,2020-06-26 14:01:00,"Intersection"
25,2020-06-26 15:01:00,"Intersection"
25.5,2020-06-26 16:01:00,"Intersection"
27,2020-06-26 17:01:00,"Intersection"
26,2020-06-26 18:01:00,"Intersection"
24,2020-06-26 19:01:00,"Intersection"
21.5,2020-06-26 20:01:00,"Intersection"
16.5,2020-06-26 21:01:00,"Intersection"
15.5,2020-06-26 22:01:00,"Intersection"
13.5,2020-06-26 23:01:00,"Intersection"
16.5,2020-06-27 00:01:00,"Intersection"
14.5,2020-06-27 01:01:00,"Intersection"
12,2020-06-27 02:01:00,"Intersection"
11,2020-06-27 03:01:00,"Intersection"
10,2020-06-27 04:01:00,"Intersection"
11.5,2020-06-27 05:01:00,"Intersection"
11,2020-06-27 06:01:00,"Intersection"
14,2020-06-27 07:01:00,"Intersection"
23,2020-06-27 08:01:00,"Intersection"
25.5,2020-06-27 09:01:00,"Intersection"
28.5,2020-06-27 10:01:00,"Intersection"
30.5,2020-06-27 11:01:00,"Intersection"
31.5,2020-06-27 12:01:00,"Intersection"
31.5,2020-06-27 13:01:00,"Intersection"
32.5,2020-06-27 14:01:00,"Intersection"
35.5,2020-06-27 15:01:00,"Intersection"
34,2020-06-27 16:01:00,"Intersection"
35.5,2020-06-27 17:01:00,"Intersection"
